"Name","Source","Page","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment","Treasure"
"Cyclops Oracle","MM'25","88","Huge","Giant","chaotic neutral","16","207 (18d12 + 90)","40 ft.","22","11","20","16","18","10","Con +9, Wis +8","History +11, Perception +12","","","","","Truesight 30 ft., passive Perception 22","Giant","10 (XP 5,900; PB +4)","","Multiattack. The cyclops makes three attacks, using Radiant Strike or Flash of Light in any combination.
Radiant Strike. Melee Attack Roll: +10, reach 10 ft. Hit: 22 (3d10 + 6) Radiant damage.
Flash of Light. Ranged Attack Roll: +10, range 120 ft. Hit: 17 (2d10 + 6) Radiant damage, and the target has Disadvantage on attack rolls until the end of the cyclops's next turn.
Spellcasting. The cyclops casts one of the following spells, requiring no Material components and using Wisdom as the spellcasting ability (spell save DC 16):2/day each: Arcane Eye, Detect Magic, Locate Object1/day: Legend Lore","","Portent (Recharge 4–6). Trigger: The cyclops or an ally it can see makes a D20 Test. Response: The cyclops rolls 1d20 and chooses whether to use that roll in place of the d20 rolled for the D20 Test.","","","","","Coastal, Desert, Grassland, Hill, Mountain, Underdark","Armaments"
"Cyclops Sentry","MM'25","88","Huge","Giant","chaotic neutral","14","138 (12d12 + 60)","40 ft.","22","11","20","8","6","10","","","","","","","passive Perception 8","Giant","6 (XP 2,300; PB +3)","","Multiattack. The cyclops makes two attacks, using Stone Club or Rock in any combination.
Stone Club. Melee Attack Roll: +9, reach 10 ft. Hit: 16 (3d6 + 6) Bludgeoning damage. If the target is a Huge or smaller creature, it has the Prone condition.
Rock. Ranged Attack Roll: +9, range 30/120 ft. Hit: 22 (3d10 + 6) Bludgeoning damage.","","Limited Foresight (Recharge 6). Trigger: A creature the cyclops can see makes an attack roll against it. Response: The cyclops imposes Disadvantage on the roll, and the cyclops gains Advantage on attack rolls against the target until the end of the cyclops's next turn.","","","","","Coastal, Desert, Grassland, Hill, Mountain, Underdark","Armaments"
"Dao","MM'25","89","Large","Elemental (Genie)","neutral","18","200 (16d10 + 112)","30 ft., Burrow 30 ft., Fly 30 ft. (hover)","23","12","24","12","13","18","Dex +5, Wis +5","","","","","petrified","Darkvision 120 ft., passive Perception 11","Primordial (Terran)","11 (XP 7,200; PB +4)","Earth Glide. The dao can burrow through nonmagical, unworked earth and stone. While doing so, the dao doesn't disturb the material it moves through.
Elemental Restoration. If the dao dies outside the Elemental Plane of Earth, its body dissolves into dirt, and it gains a new body in 1d4 days, reviving with all its Hit Points somewhere on the Plane of Earth.
Magic Resistance. The dao has Advantage on saving throws against spells and other magical effects.
Wishes. The dao has a 30 percent chance of knowing the Wish spell. If the dao knows it, the dao can cast it only on behalf of a non-genie creature who communicates a wish in a way the dao can understand. If the dao casts the spell for the creature, the dao suffers none of the spell's stress. Once the dao has cast it three times, the dao can't do so again for 365 days.","Multiattack. The dao makes three Earthen Maul attacks or two Earth Burst attacks.
Earthen Maul. Melee Attack Roll: +10, reach 5 ft. Hit: 20 (4d6 + 6) Bludgeoning damage. If the target is a Large or smaller creature, it has the Prone condition.
Earth Burst. Ranged Attack Roll: +10, range 120 ft. Hit: 15 (2d8 + 6) Bludgeoning damage. Hit or Miss: Earth explodes from the target's space, creating the following effect. Dexterity Saving Throw: DC 16, each creature in a 10-foot Emanation originating from and including the target. Failure: 10 (3d6) Thunder damage.
Spellcasting. The dao casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 16):At will: Detect Evil and Good, Detect Magic, Stone Shape1/day each: Gaseous Form, Invisibility, Move Earth, Passwall, Plane Shift, Tongues, Wall of Stone","","","","","","","Planar (Elemental Plane of Earth), Underdark","Implements"
"Darkmantle","MM'25","90","Small","Aberration","unaligned","11","22 (5d6 + 5)","10 ft., Fly 30 ft.","16","12","13","2","10","5","","Stealth +3","","","","","Blindsight 60 ft., passive Perception 10","—","1/2 (XP 100; PB +2)","","Crush. Melee Attack Roll: +5, reach 5 ft. Hit: 6 (1d6 + 3) Bludgeoning damage, and the darkmantle attaches to the target. If the target is a Medium or smaller creature and the darkmantle had Advantage on the attack roll, it covers the target, which has the Blinded condition and is suffocating while the darkmantle is attached in this way.While attached to a target, the darkmantle can attack only the target but has Advantage on its attack rolls. Its Speed becomes 0, it can't benefit from any bonus to its Speed, and it moves with the target.A creature can take an action to try to detach the darkmantle from itself, doing so with a successful DC 13 Strength (Athletics) check. On its turn, the darkmantle can detach itself by using 5 feet of movement.
Darkness Aura (1/Day). Magical Darkness fills a 15-foot Emanation originating from the darkmantle. This effect lasts while the darkmantle maintains Concentration on it, up to 10 minutes. Darkvision can't penetrate this area, and no light can illuminate it.","","","","","","","Underdark",""
"Death Cultist","MM'25","86","Small or Medium","Humanoid","neutral evil","17","127 (15d8 + 60)","30 ft.","19","12","18","12","16","14","Con +7, Wis +6","Insight +6, Perception +6, Religion +4","","","","","passive Perception 16","Common","8 (XP 3,900; PB +3)","","Multiattack. The cultist makes three attacks, using Dread Scythe or Deathly Ray in any combination.
Dread Scythe. Melee Attack Roll: +7, reach 10 ft. Hit: 9 (1d10 + 4) Slashing damage plus 11 (2d10) Necrotic damage, and the target can't regain Hit Points until the end of its next turn.
Deathly Ray. Ranged Attack Roll: +6, range 120 ft. Hit: 22 (4d10) Necrotic damage.
Spellcasting. The cultist casts one of the following spells, using Wisdom as the spellcasting ability (spell save DC 14):At will: Speak with Dead, Thaumaturgy","Spirit Wail (Recharge 5–6). Wisdom Saving Throw: DC 14, each creature in a 20-foot Emanation originating from the cultist. Failure: 14 (4d6) Psychic damage, and the target has the Frightened condition until the end of its next turn. Success: Half damage only.","","","","","","Any","Individual, Relics"
"Death Dog","MM'25","91","Medium","Monstrosity","neutral evil","12","39 (6d8 + 12)","40 ft.","15","14","14","3","13","6","","Perception +5, Stealth +4","","","","blinded, charmed, deafened, frightened, stunned, unconscious","Darkvision 120 ft., passive Perception 15","—","1 (XP 200; PB +2)","","Multiattack. The death dog makes two Bite attacks.
Bite. Melee Attack Roll: +4, reach 5 ft. Hit: 4 (1d4 + 2) Piercing damage. If the target is a creature, it is subjected to the following effect. Constitution Saving Throw: DC 12. First Failure: The target has the Poisoned condition. While Poisoned, the target's Hit Point maximum doesn't return to normal when finishing a Long Rest, and it repeats the save every 24 hours that elapse, ending the effect on itself on a success. Subsequent Failures: The Poisoned target's Hit Point maximum decreases by 5 (1d10).","","","","","","","Desert",""
"Death Knight","MM'25","92","Small or Medium","Undead","chaotic evil","20","199 (21d8 + 105)","30 ft.","20","11","20","12","16","18","Dex +6, Wis +9","","","","necrotic, poison","exhaustion, frightened, poisoned","Darkvision 120 ft., passive Perception 13","Abyssal, Common","17 (XP 18,000; PB +6)","Legendary Resistance (3/Day). If the death knight fails a saving throw, it can choose to succeed instead.
Magic Resistance. The death knight has Advantage on saving throws against spells and other magical effects.
Marshal Undead. Undead creatures of the death knight's choice (excluding itself) in a 60-foot Emanation originating from it have Advantage on attack rolls and saving throws. It can't use this trait if it has the Incapacitated condition.
Undead Restoration. If the death knight is destroyed before it atones for its evil, it gains a new body in 1d10 days, reviving with all its Hit Points. The new body appears in a location significant to the death knight.","Multiattack. The death knight makes three Dread Blade attacks.
Dread Blade. Melee Attack Roll: +11, reach 5 ft. Hit: 12 (2d6 + 5) Slashing damage plus 13 (3d8) Necrotic damage.
Hellfire Orb (Recharge 5–6). Dexterity Saving Throw: DC 18, each creature in a 20-foot-radius Sphere centered on a point the death knight can see within 120 feet. Failure: 35 (10d6) Fire damage plus 35 (10d6) Necrotic damage. Success: Half damage.
Spellcasting. The death knight casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 18):At will: Command, Phantom Steed2/day each: Destructive Wave (Necrotic), Dispel Magic","","Parry. Trigger: The death knight is hit by a melee attack roll while holding a weapon. Response: The death knight adds 6 to its AC against that attack, possibly causing it to miss.","Dread Authority. The death knight uses Spellcasting to cast Command. The death knight can't take this action again until the start of its next turn.
Fell Word. Constitution Saving Throw: DC 18, one creature the death knight can see within 120 feet. Failure: 17 (5d6) Necrotic damage, and the target's Hit Point maximum decreases by an amount equal to the damage taken. Failure or Success: The death knight can't take this action again until the start of its next turn.
Lunge. The death knight moves up to half its Speed, and it makes one Dread Blade attack.","","","","Any","Armaments"
"Death Knight Aspirant","MM'25","93","Small or Medium","Undead","chaotic evil","20","178 (21d8 + 84)","30 ft.","20","10","18","10","12","16","Dex +4, Wis +5","","","","necrotic, poison","exhaustion, frightened, poisoned","Darkvision 120 ft., passive Perception 11","Abyssal, Common","11 (XP 7,200; PB +4)","Magic Resistance. The aspirant has Advantage on saving throws against spells and other magical effects.
Marshal Undead. Undead creatures of the aspirant's choice (excluding itself) in a 60-foot Emanation originating from it have Advantage on attack rolls and saving throws. It can't use this trait if it has the Incapacitated condition.","Multiattack. The aspirant makes three Dread Blade attacks.
Dread Blade. Melee Attack Roll: +9, reach 5 ft. Hit: 14 (2d8 + 5) Slashing damage plus 10 (3d6) Necrotic damage.
Hellfire Orb (Recharge 5–6). Dexterity Saving Throw: DC 15, each creature in a 20-foot-radius Sphere centered on a point the aspirant can see within 120 feet of itself. Failure: 21 (6d6) Fire damage plus 21 (6d6) Necrotic damage. Success: Half damage.
Spellcasting. The aspirant casts one of the following spells, using Charisma as the spellcasting ability (spell save DC 15):At will: Phantom Steed1/day each: Destructive Wave (Necrotic), Dispel Magic","","Parry. Trigger: The aspirant is hit by a melee attack roll while holding a weapon. Response: The aspirant adds 4 to its AC against that attack, possibly causing it to miss.","","","","","Any","Armaments"
"Death Slaad","MM'25","287","Medium","Aberration","chaotic evil","18","178 (21d8 + 84)","40 ft.","20","15","19","15","10","19","","Arcana +6, Perception +8","","acid, cold, fire, lightning, thunder","","","Blindsight 60 ft., Darkvision 60 ft., passive Perception 18","Common, Slaad; telepathy 60 ft.","10 (XP 5,900; PB +4)","Magic Resistance. The slaad has Advantage on saving throws against spells and other magical effects.
Regeneration. The slaad regains 10 Hit Points at the start of each of its turns if it has at least 1 Hit Point.","Multiattack. The slaad makes two Chaos Blade attacks.
Chaos Blade. Melee Attack Roll: +9, reach 10 ft. Hit: 11 (1d12 + 5) Slashing damage plus 10 (3d6) Necrotic damage. Until the start of the slaad's next turn, the target has a condition determined by rolling 1d4: on a 1, Charmed; on a 2, Frightened; on a 3, Poisoned; or on a 4, Incapacitated.
Spellcasting. The slaad casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 16):At will: Detect Magic, Detect Thoughts, Invisibility (self only), Mage Hand, Major Image1/day each: Blight (level 8 version), Cloudkill (level 6 version), Fly, Plane Shift, Tongues","Shape-Shift. The slaad shape-shifts into a Small or Medium Humanoid, or it returns to its true form. Other than its size, its game statistics are the same in each form. Any equipment it is wearing or carrying isn't transformed.","","","","","","Planar (Limbo)","Any"
"Death Tyrant","MM'25","95","Large","Undead (Beholder)","lawful evil","19","195 (26d10 + 52)","5 ft., Fly 40 ft. (hover)","18","14","14","19","15","19","Con +7, Wis +7","Perception +12","","","poison","charmed, exhaustion, paralyzed, petrified, poisoned, prone","Darkvision 120 ft., passive Perception 22","Deep Speech, Undercommon","14 (XP 11,500, or 13,000 in lair; PB +5)","Legendary Resistance (3/Day, or 4/Day in Lair). If the death tyrant fails a saving throw, it can choose to succeed instead.","Multiattack. The death tyrant uses Eye Rays three times.
Bite. Melee Attack Roll: +9, reach 5 feet. Hit: 13 (2d8 + 4) Piercing damage.
Eye Rays. The death tyrant randomly shoots one of the following magical rays at a target it can see within 120 feet of itself (roll 1d10; reroll if the death tyrant has already used that ray during this turn):1: Charm Ray. Wisdom Saving Throw: DC 17. Failure: 13 (3d8) Psychic damage, and the target has the Charmed condition for 1 hour or until it takes damage. Success: Half damage only.2: Paralyzing Ray. Constitution Saving Throw: DC 17. Failure: The target has the Paralyzed condition and repeats the save at the end of each of its turns, ending the effect on itself on a success. After 1 minute, it succeeds automatically.3: Fear Ray. Wisdom Saving Throw: DC 17. Failure: 10 (3d6) Psychic damage, and the target has the Frightened condition until the end of its next turn. Success: Half damage only.4: Slowing Ray. Constitution Saving Throw: DC 17. Failure: 18 (4d8) Necrotic damage. Until the end of the target's next turn, the target can't take Reactions; its Speed is halved; and it can take either an action or a Bonus Action on its turn, not both. Success: Half damage only.5: Enervation Ray. Constitution Saving Throw: DC 17. Failure: 16 (3d10) Poison damage, and the target has the Poisoned condition until the end of its next turn. While Poisoned, the target can't regain Hit Points. Success: Half damage only.6: Telekinetic Ray. Strength Saving Throw: DC 17 (the target succeeds automatically if it is Gargantuan). Failure: The death tyrant moves the target up to 30 feet in any direction. The target has the Restrained condition until the start of the death tyrant's next turn or until the death tyrant has the Incapacitated condition. The death tyrant can also exert fine control on objects with this ray, such as manipulating a tool or opening a door or container.7: Sleep Ray. Wisdom Saving Throw: DC 17 (the target succeeds automatically if it is a Construct or an Undead). Failure: The target has the Unconscious condition for 1 minute. The condition ends if the target takes damage or a creature within 5 feet of it takes an action to wake it.8: Petrification Ray. Constitution Saving Throw: DC 17. First Failure: The target has the Restrained condition and repeats the save at the end of its next turn if it is still Restrained, ending the effect on itself on a success. Second Failure: The target has the Petrified condition instead of the Restrained condition.9: Disintegration Ray. Dexterity Saving Throw: DC 17. Failure: 36 (8d8) Force damage. If the target is a nonmagical object or a creation of magical force, a 10-foot Cube of it disintegrates into dust. Success: Half damage. Failure or Success: If the target is a creature and this damage reduces it to 0 Hit Points, it disintegrates into dust.10: Death Ray. Dexterity Saving Throw: DC 17. Failure: 55 (10d10) Necrotic damage. Success: Half damage. Failure or Success: The target dies if the ray reduces it to 0 Hit Points.","Negative Energy Cone. The death tyrant's central eye emits an imperceptible, magical wave of negative energy in a 150-foot Cone. Creatures in that area can't regain Hit Points until the start of the death tyrant's next turn. An intact Humanoid corpse there instantly rises as a Zombie under the death tyrant's control and takes its turn immediately after the death tyrant on the same initiative count.","","Chomp. The death tyrant makes two Bite attacks.
Glare. The death tyrant uses Eye Rays.","","","The region containing a death tyrant's lair is warped by its presence, creating the following effects:Negative Energy Suffusion. Whenever a creature within 1 mile of the lair regains Hit Points from a spell, it subtracts 1d10 from the number of Hit Points regained.Scopophobia. Creatures within 1 mile of the lair feel as if they're being watched. Any creature (excluding the death tyrant and its allies) that finishes a Short Rest while within 1 mile of the lair must succeed on a DC 15 Wisdom saving throw or gain no benefit from that rest.If the death tyrant dies or moves its lair elsewhere, these effects end immediately.","Underdark","Any"
"Deep Crow","AI","210","Large","Monstrosity","unaligned","17 (natural armor)","133 (14d10 + 56)","20 ft., Fly 80 ft.","20","16","18","8","15","14","Con +8, Wis +6","Perception +6, Stealth +11","","","","","Blindsight 30 ft., Darkvision 120 ft., passive Perception 16","Deep Crow","9 (XP 5,000; PB +4)","Magic Resistance. The deep crow has advantage on saving throws against spells and other magical effects.
Shadow Stealth. While in dim light or darkness, the deep crow can take the Hide action as a bonus action.
Sunlight Sensitivity. While in sunlight, the deep crow has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.","Multiattack. The deep crow makes three attacks: one with its mandibles and two with its claws.
Mandibles. Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 16 (2d10 + 5) piercing damage, and the target is grappled (escape DC 17). Until this grapple ends, the target is restrained, and the deep crow can't use its mandibles on another target.
Claw. Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 12 (2d6 + 5) slashing damage.","","","","","","","",""
"Deer","MM'25","352","Medium","Beast","unaligned","13","4 (1d8)","50 ft.","11","16","11","2","14","5","","Perception +4","","","","","Darkvision 60 ft., passive Perception 14","—","0 (XP 10; PB +2)","Agile. The deer doesn't provoke an Opportunity Attack when it moves out of an enemy's reach.","Ram. Melee Attack Roll: +2, reach 5 ft. Hit: 2 (1d4) Bludgeoning damage.","","","","","","","Forest, Grassland",""
"Demilich","MM'25","96","Tiny","Undead","neutral evil","20","180 (72d4)","5 ft., Fly 30 ft. (hover)","1","20","10","20","17","20","Con +6, Int +11, Wis +9","","","bludgeoning, piercing, slashing","necrotic, poison, psychic","charmed, deafened, exhaustion, frightened, paralyzed, petrified, poisoned, prone, stunned","Truesight 120 ft., passive Perception 13","—","18 (XP 20,000, or 22,000 in lair; PB +6)","Legendary Resistance (3/Day, or 4/Day in Lair). If the demilich fails a saving throw, it can choose to succeed instead.
Undead Restoration. If the demilich is destroyed, it reforms and regains all its Hit Points in 1d10 days unless a Wish spell is cast on its remains.","Multiattack. The demilich makes three Necrotic Burst attacks.
Necrotic Burst. Melee or Ranged Attack Roll: +11, reach 5 ft. or range 120 ft. Hit: 24 (7d6) Necrotic damage.
Howl (Recharge 5–6). Constitution Saving Throw: DC 19, each creature in a 30-foot Emanation originating from the demilich. Failure: 70 (20d6) Psychic damage. Failure or Success: The target has the Frightened condition until the start of the demilich's next turn.","","","Energy Drain. Constitution Saving Throw: DC 19, one creature the demilich can see within 120 feet. Failure: The target's Hit Point maximum decreases by 14 (4d6). Failure or Success: The demilich can't take this action again until the start of its next turn.
Grave-Dust Flight. The demilich flies up to its Fly Speed, shedding grave dust. Each creature within 5 feet of the demilich as it moves is targeted once by the following effect. Constitution Saving Throw: DC 19. Failure: The target has the Blinded condition until the end of the demilich's next turn. Failure or Success: The demilich can't take this action again until the start of its next turn.
Necrosis. The demilich makes one Necrotic Burst attack.","","","The region containing a demilich's lair is twisted by its presence, creating the following effects:Enervating Domain. Whenever a creature other than the demilich or one of its allies finishes a Long Rest within 1 mile of the lair, the creature must succeed on a DC 20 Constitution saving throw or have its Hit Point maximum reduced by 1d4. This reduction lasts until the creature finishes a Long Rest outside that area.Travel Ward. Creatures can't use teleportation or planar travel to enter or exit the lair.If the demilich dies or moves its lair elsewhere, these effects end immediately.","Any","Arcana"
"Deva","MM'25","97","Medium","Celestial (Angel)","lawful good","17","229 (27d8 + 108)","30 ft., Fly 90 ft. (hover)","18","18","18","17","20","20","Wis +9, Cha +9","Insight +9, Perception +9","","radiant","","charmed, exhaustion, frightened","Darkvision 120 ft., passive Perception 19","All; telepathy 120 ft.","10 (XP 5,900; PB +4)","Exalted Restoration. If the deva dies outside Mount Celestia, its body disappears, and it gains a new body instantly, reviving with all its Hit Points somewhere in Mount Celestia.
Magic Resistance. The deva has Advantage on saving throws against spells and other magical effects.","Multiattack. The deva makes two Holy Mace attacks.
Holy Mace. Melee Attack Roll: +8, reach 5 ft. Hit: 7 (1d6 + 4) Bludgeoning damage plus 18 (4d8) Radiant damage.
Spellcasting. The deva casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 17):At will: Detect Evil and Good, Shapechange (Beast or Humanoid form only, no Temporary Hit Points gained from the spell, and no Concentration or Temporary Hit Points required to maintain the spell)1/day each: Commune, Raise Dead","Divine Aid (2/Day). The deva casts Cure Wounds, Lesser Restoration, or Remove Curse, using the same spellcasting ability as Spellcasting.","","","","","","Planar (Upper Planes)","Relics"
"Dire Wolf","MM'25","352","Large","Beast","unaligned","14","22 (3d10 + 6)","50 ft.","17","15","15","3","12","7","","Perception +5, Stealth +4","","","","","Darkvision 60 ft., passive Perception 15","—","1 (XP 200; PB +2)","Pack Tactics. The wolf has Advantage on an attack roll against a creature if at least one of the wolf's allies is within 5 feet of the creature and the ally doesn't have the Incapacitated condition.","Bite. Melee Attack Roll: +5, reach 5 ft. Hit: 8 (1d10 + 3) Piercing damage. If the target is a Large or smaller creature, it has the Prone condition.","","","","","","","Forest, Hill",""
"Dire Worg","MM'25","335","Huge","Fey","neutral evil","16","147 (14d12 + 56)","50 ft.","22","14","18","7","16","8","Dex +6, Wis +7","Perception +11","","","","","Darkvision 120 ft., passive Perception 21","Goblin, Sylvan, Worg","10 (XP 5,900; PB +4)","Magic Resistance. The worg has Advantage on saving throws against spells and other magical effects.","Multiattack. The worg makes three Bite attacks.
Bite. Melee Attack Roll: +10, reach 5 ft. Hit: 15 (2d8 + 6) Piercing damage plus 7 (2d6) Poison damage, and the target has the Poisoned condition until the start of the worg's next turn. While Poisoned, the target can't regain Hit Points.
Dreadful Howl (Recharge 5–6). Wisdom Saving Throw: DC 16, each creature within 30 feet that isn't a worg. Failure: 36 (8d8) Psychic damage, and the target has the Frightened condition until the start of the worg's next turn. Success: Half damage only.","Warp Step. The worg teleports, along with a willing creature of its choice within 5 feet of it, up to 30 feet to an unoccupied space it can see.","","","","","","Forest, Grassland, Hill, Planar (Feywild)",""
"Displacer Beast","MM'25","98","Large","Monstrosity","lawful evil","13","76 (9d10 + 27)","40 ft.","18","15","16","6","12","8","","","","","","","Darkvision 60 ft., passive Perception 11","Understands Sylvan but can't speak","3 (XP 700; PB +2)","Avoidance. If the displacer beast is subjected to an effect that allows it to make a saving throw to take only half damage, it instead takes no damage if it succeeds on the save and half damage if it fails. It can't use this trait if it has the Incapacitated condition.
Displacement. Attack rolls against the displacer beast have Disadvantage, since it projects an illusion that makes it appear to be near its actual location. This trait is suppressed while the displacer beast has the Incapacitated condition.","Multiattack. The displacer beast makes one Rend attack and one Tentacle attack.
Rend. Melee Attack Roll: +6, reach 5 feet. Hit: 9 (1d10 + 4) Slashing damage. If target is a Large or smaller creature, it has the Prone condition.
Tentacle. Melee Attack Roll: +6, reach 10 feet. Hit: 11 (2d6 + 4) Piercing damage.","","","","","","","Forest",""
"Djinni","MM'25","99","Large","Elemental (Genie)","chaotic good","17","218 (19d10 + 114)","30 ft., Fly 90 ft. (hover)","21","15","22","15","16","20","Dex +6, Wis +7","","","","lightning, thunder","","Darkvision 120 ft., passive Perception 13","Primordial (Auran)","11 (XP 7,200; PB +4)","Elemental Restoration. If the djinni dies outside the Elemental Plane of Air, its body dissolves into mist, and it gains a new body in 1d4 days, reviving with all its Hit Points somewhere on the Plane of Air.
Magic Resistance. The djinni has Advantage on saving throws against spells and other magical effects.
Wishes. The djinni has a 30 percent chance of knowing the Wish spell. If the djinni knows it, the djinni can cast it only on behalf of a non-genie creature who communicates a wish in a way the djinni can understand. If the djinni casts the spell for the creature, the djinni suffers none of the spell's stress. Once the djinni has cast it three times, the djinni can't do so again for 365 days.","Multiattack. The djinni makes three attacks, using Storm Blade or Storm Bolt in any combination.
Storm Blade. Melee Attack Roll: +9, reach 5 feet. Hit: 12 (2d6 + 5) Slashing damage plus 7 (2d6) Lightning damage.
Spellcasting. The djinni casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 17):At will: Detect Evil and Good, Detect Magic2/day each: Create Food and Water (can create wine instead of water), Tongues, Wind Walk1/day each: Creation, Gaseous Form, Invisibility, Major Image, Plane Shift
Storm Bolt. Ranged Attack Roll: +9, range 120 feet. Hit: 13 (3d8) Thunder damage. If the target is a Large or smaller creature, it has the Prone condition.
Create Whirlwind. The djinni conjures a whirlwind at a point it can see within 120 feet. The whirlwind fills a 20-foot-radius, 60-foot-high Cylinder centered on that point. The whirlwind lasts until the djinni's Concentration on it ends. The djinni can move the whirlwind up to 20 feet at the start of each of its turns.Whenever the whirlwind enters a creature's space or a creature enters the whirlwind, that creature is subjected to the following effect. Strength Saving Throw: DC 17 (a creature makes this save only once per turn, and the djinni is unaffected). Failure: While in the whirlwind, the target has the Restrained condition and moves with the whirlwind. At the start of each of its turns, the Restrained target takes 21 (6d6) Thunder damage. At the end of each of its turns, the target repeats the save, ending the effect on itself on a success.","","","","","","","Coastal, Planar (Elemental Plane of Air)","Arcana"
"Donaar Blit'zen","AI","201","Medium","Humanoid (Dragonborn)","chaotic good","18 (plate armor)","45 (7d8 + 14)","30 ft.","17","8","14","10","10","16","Wis +2, Cha +5","History +2, Insight +2, Intimidation +5, Persuasion +5","","acid","","","passive Perception 10","Common, Draconic, Orc","3 (XP 700; PB +2)","Champion Challenge (Recharges after a Short or Long Rest). As a bonus action, Donaar causes each creature of his choice that he can see within 30 feet of him to make a DC 13 Wisdom saving throw. On a failure, a creature can't willingly move more than 30 feet away from Donaar. This effect ends on the creature if Donaar is incapacitated or dies, or if the creature is moved more than 30 feet away from him.
Spellcasting. Donaar is a 5th-level spellcaster. His spellcasting ability is Charisma (spell save DC 13, +5 to hit with spell attacks). He has the following paladin spells prepared:1st level (4 slots): command, compelled duel, cure wounds, wrathful smite2nd level (2 slots): aid, branding smite, lesser restoration, warding bond, zone of truth","Multiattack. Donaar makes two attacks with his greatsword or his whip.
Greatsword. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) slashing damage. Whenever Donaar rolls a 1 or 2 on a damage die, he can reroll the die and must use the new roll.
Whip. Melee Weapon Attack: +5 to hit, reach 10 ft., one target. Hit: 5 (1d4 + 3) slashing damage.
Acid Vomit. Donaar regurgitates acid in a 30-foot line that is 5 feet wide. Each creature in that line must make a DC 12 Dexterity saving throw, taking 7 (2d6) acid damage on a failed save, or half as much damage on a successful one.","","","","","","","",""
"Doppelganger","MM'25","100","Medium","Monstrosity","neutral","14","52 (8d8 + 16)","30 ft.","11","18","14","11","12","14","","Deception +6, Insight +3","","","","charmed","Darkvision 60 ft., passive Perception 11","Common plus three other languages","3 (XP 700; PB +2)","","Multiattack. The doppelganger makes two Slam attacks and uses Unsettling Visage if available.
Read Thoughts. The doppelganger casts Detect Thoughts, requiring no spell components and using Charisma as the spellcasting ability (spell save DC 12).
Slam. Melee Attack Roll: +6 (with Advantage during the first round of each combat), reach 5 ft. Hit: 11 (2d6 + 4) Bludgeoning damage.
Unsettling Visage (Recharge 6). Wisdom Saving Throw: DC 12, each creature in a 15-foot Emanation originating from the doppelganger that can see the doppelganger. Failure: The target has the Frightened condition and repeats the save at the end of each of its turns, ending the effect on itself on a success. After 1 minute, it succeeds automatically.","Shape-Shift. The doppelganger shape-shifts into a Medium or Small Humanoid, or it returns to its true form. Its game statistics, other than its size, are the same in each form. Any equipment it is wearing or carrying isn't transformed.","","","","","","Underdark, Urban","Individual"
