Id,Title,Description,Published at,Created at,Updated at,Original title,Requested count
385,Гигантское насекомое,"**Гигантское насекомое**
*4 уровень, вызов*
*(Друид)*
**Время накладывания:** Действие
**Дистанция:** 60 футов
**Компоненты:** Вербальный, Соматический
**Длительность:** Концентрация, до 10 минут

Вы вызываете гигантского многоножку, паука или осу (выбирается при накладывании заклинания). Существо появляется в свободном пространстве, которое вы видите в пределах дистанции, и использует статблок Гигантского насекомого. Форма, которую вы выбираете, определяет некоторые детали его статблока. Существо исчезает, когда его хиты падают до 0 или когда заканчивается действие заклинания.

Существо является союзником вам и вашим союзникам. В бою оно делит с вами значение Инициативы, но ходит сразу после вас. Оно повинуется вашим вербальным командам (не требует от вас дополнительных действий). Если вы не даёте команд, то оно совершает уклонение и использует своё перемещение, чтобы избежать вреда.

**Использование более высокой ячейкой.** Используйте уровень ячейки заклинания для определения уровня заклинания в статблоке.",2024-09-21 06:15:28 UTC,2024-09-16 12:16:06 UTC,2024-09-21 06:15:34 UTC,Giant Insect,1
384,Запрет,"**Запрет**
*6 уровень, ограждение*
*(Жрец)*
**Время накладывания:** 10 минут или ритуал
**Дистанция:** касание
**Компоненты:** Вербальный, Соматический, Материальный (рубиновая пыль стоимостью 1’000+ зм)
**Длительность:** 1 день

Вы создаёте защиту от магического перемещения, которая охватывает до 40’000 квадратных футов площади на высоте до 30 футов над полом. На время действия заклинания существа не могут телепортироваться в область или использовать порталы, такие как те, что создаются заклинанием Врата, чтобы войти в неё. Заклинание защищает область от межпланарного перемещения, и, следовательно, предотвращает доступ существ в область через Астральный план, Эфирный план, Страну фей, Царство теней или с помощью заклинания Уход в иной план.

Кроме того, заклинание наносит урон определённым типам существ, которые вы выбираете при его наложении. Выберите один или несколько из следующих типов: аберрации, небожители, элементали, феи, исчадия и нежить. Когда существо выбранного типа впервые за ход входит в область действия заклинания или заканчивает там свой ход, оно получает 5к10 урона излучением или некротической энергией (по вашему выбору при наложении заклинания).

Вы можете назначить пароль при наложении заклинания. Существо, которое произносит пароль, входя в область, не получает урона от заклинания.

Область действия заклинания не может перекрывать область действия другого заклинания Запрет. Если вы накладываете Запрет каждый день в течение 30 дней в одном и том же месте, то заклинание действует до тех пор, пока не будет рассеяно, и материальные компоненты расходуются при последнем наложении.",2024-09-17 13:23:18 UTC,2024-09-16 12:15:14 UTC,2024-09-20 07:33:06 UTC,Forbiddance,0
383,Горящий клинок,"**Горящий клинок**
*2 уровень, воплощение*
*(Друид, чародей)*
**Время накладывания:** Бонусное действие
**Дистанция:** На себя
**Компоненты:** Вербальный, Соматический, Материальный (лист сумаха)
**Длительность:** Концентрация, до 10 минут

Вы призываете горящий клинок в своей свободной руке. Клинок по размеру и форме напоминает скимитар и существует на протяжении действия заклинания. Если вы отпускаете клинок, он исчезает, но вы можете вновь призвать его бонусным действием.

Как действим магия, вы можете совершить рукопашную атаку заклинанием с помощью горящего клинка. При попадании цель получает урон огнём в размере 3к6 + ваш модификатор заклинательной характеристики. 

Горящий клинок излучает яркий свет в радиусе 10 футов и тусклый свет ещё на 10 футов.

**Использование более высокой ячейкой.** Урон увеличивается на 1к6 за каждый уровень ячейки заклинания выше второго.",2024-09-17 12:44:14 UTC,2024-09-16 12:14:34 UTC,2024-09-20 07:33:06 UTC,Flame Blade,0
382,Дружба,"**Дружба**
*Заговор, очарование*
*(Бард, волшебник, чародей, колдун)*
**Время накладывания:** Действие
**Дистанция:** 10 футов
**Компоненты:** Соматический, Материальный (немного грима)
**Длительность:** Концентрация, до 1 минуты

Вы магически излучаете чувство дружелюбия к одному существу, которого видите в пределах дистанции. Цель должна преуспеть в спасброске Мудрости, иначе она получит состояние очарованный на время действия заклинания. Цель автоматически преуспеет, если она не является гуманоидом, если вы сражаетесь с ней, или если вы накладывали это заклинание на неё в течение последних 24 часов.

Заклинание заканчивается досрочно, если цель получает урон, или если вы совершаете бросок атаки, наносите урон или заставляете кого-либо совершить спасбросок. Когда заклинание заканчивается, то цель осознаёт, что была очарована вами.",2024-09-17 14:05:26 UTC,2024-09-16 12:14:21 UTC,2024-09-20 07:33:06 UTC,Friends,0
381,Защита от энергии,"**Защита от энергии**
*3 уровень, ограждение*
*(Друид, жрец, следопыт, чародей, волшебник)*
**Время накладывания:** Действие
**Дистанция:** касание
**Компоненты:** Вербальный, Соматический
**Длительность:** Концентрация, до 1 часа

Вы касаетесь согласное существо и на длительность заклинания оно получает сопротивление одному виду урона на ваш выбор: кислотный, холодный, огненный, электрический или звуковой.",2024-09-17 14:06:42 UTC,2024-09-16 12:10:38 UTC,2024-09-20 07:33:06 UTC,Protection from Energy,0
380,Луч болезни,"**Луч болезни**
*1 уровень, некромантия*
*(Чародей, волшебник)*
**Время накладывания:** Действие
**Дистанция:** 60 футов
**Компоненты:** Вербальный, Соматический
**Длительность:** Мгновенная

Вы выпускаете зеленоватый луч в существо в пределах дистанции. Совершите дальнобойную атаку заклинанием по цели. При попадании цель получает 2к8 урона ядом и получает состояние отравленный до конца вашего следующего хода.

**Использование более высокой ячейки.** Урон увеличивается на 1к8 за каждый уровень ячейки выше первого.",2024-09-17 14:08:04 UTC,2024-09-16 12:10:25 UTC,2024-09-20 07:33:06 UTC,Ray of Sickness,0
379,Изменение памяти,"**Изменение памяти**
*5 уровень, очарование*
*(Бард, волшебник)*
**Время накладывания:** 1 действие
**Дистанция:** 30 футов
**Компоненты:** Вербальный, Соматический
**Длительность:** Концентрация, до 1 минуты

Вы пытаетесь изменить воспоминания другого существа. Одно существо, которое вы видите в пределах дистанции, совершает спасбросок Мудрости. Если вы сражаетесь с существом, то оно совершает этот спасбросок с преимуществом. В случае провала цель получает состояние очарованный на время действия заклинания.

Пока существо очаровано таким образом, то оно также получает состояние недееспособный и не осознает окружающую обстановку, хотя может вас слышать. Если цель получает любой урон или становится целью другого заклинания, то это заклинание заканчивается и воспоминания не изменяются.

Пока это очарование действует, вы можете изменить воспоминания цели об одном событии, которое произошло в течение последних 24 часов и длилось не более 10 минут. Вы можете полностью стереть память об этом событии, позволить цели вспомнить всё с потрясающей точностью, изменить детали этого события или создать новое воспоминание.

Вы должны произносить цели описания, как её воспоминания изменяются, и она должна понимать ваш язык, чтобы измененные воспоминания укоренились. Её разум заполняет любые пробелы в деталях вашего описания. Если заклинание заканчивается до того, как вы завершите описание измененных воспоминаний, то память существа не изменяется. В противном случае измененные воспоминания закрепляются, когда заклинание заканчивается.

Изменённая память не обязательно влияет на поведение существа, особенно если воспоминание противоречит его естественным склонностям, мировоззрению или убеждениям. Нелогичная изменённая память, такая как ложное воспоминание о том, как существо наслаждалось плаванием в кислоте, отвергается как дурной сон. Мастер может решить, что изменённая память слишком бессмысленна, чтобы повлиять на существо.

Заклинания Снятие проклятия или Высшее восстановление, наложенные на цель, восстанавливают истинную память существа.

**Использование более высокой ячейки.** Вы можете изменить воспоминания цели о событии, которое произошло до 7 дней назад (ячейка 6 уровня), 30 дней назад (ячейка 7 уровня), 365 дней назад (ячейка 8 уровня) или в любое время в прошлом существа (ячейка 9 уровня).",2024-09-17 14:48:11 UTC,2024-09-16 12:10:11 UTC,2024-09-20 07:33:06 UTC,Modify Memory,0
378,Великолепный особняк Морденкайнена,"**Великолепный особняк Морденкайнена**
*Уровень: 7, вызов*
*(Бард, волшебник)*
**Время накладывания:** 1 минута
**Дистанция:** 300 футов
**Компоненты:** Вербальный, Соматический, Материальный (миниатюрная дверь стоимостью 15+ зм)
**Длительность:** 24 часа

Вы вызываете мерцающую дверь в пределах дистанции, которая существует на протяжении всей длительности заклинания. Дверь ведет в межпространственное жилище и имеет размеры 5 футов в ширину и 10 футов в высоту. Вы и любые существа, которых вы укажете при наложении заклинания, можете входить в это межпространственное жилище, пока дверь остается открытой. Вы можете открыть или закрыть её (не требуя действия), если находитесь в пределах 30 футов от неё. В закрытом состоянии дверь невидима.

За дверью находится великолепный вестибюль с множеством комнат. Атмосфера в жилище чистая, свежая и теплая.

Вы можете создать любой план помещения по своему желанию, но его площадь не может превышать 50 смежных 10-футовых кубов. Помещение обставлено и декорировано по вашему вкусу. В нём достаточно еды, чтобы накормить до 100 человек с девятью переменами блюд. Мебель и другие объекты, созданные этим заклинанием, исчезают в дым, если вынести их из жилища.

Штат из 100 полупрозрачных слуг обслуживает всех, кто входит. Вы определяете внешний вид этих слуг и их одежду. Они неуязвимы и подчиняются вашим приказам. Каждый слуга может выполнять задачи, которые мог бы выполнить человек, но они не могут атаковать или предпринимать действия, которые могут напрямую навредить другому существу. Таким образом, слуги могут приносить вещи, убирать, чинить, складывать одежду, разжигать огонь, подавать еду, наливать вино и так далее. Слуги не могут покидать жилище.

Когда заклинание заканчивается, то любые существа или предметы, оставшиеся внутри межпространственного жилиза, изгоняются в незанятые пространства рядом с входом.",2024-09-17 14:49:28 UTC,2024-09-16 12:09:53 UTC,2024-09-20 07:33:06 UTC,Mordenkainen's Magnificent Mansion,0
377,Послание,"**Послание**
**Время накладывания:** 1 действие
**Дистанция:** Неограниченная
**Компоненты:** Вербальный, Соматический, Материальный (медная проволока)
**Длительность:** Мгновенная

Вы отправляете короткое сообщение длиной не более 25 слов существу, с которым встречались, или существу, описанному вам тем, кто его встречал. Цель слышит сообщение в своем разуме, узнает вас как отправителя, если она вас знает, и может ответить таким же образом сразу. Заклинание позволяет цели понять смысл вашего сообщения.

Вы можете отправить сообщение на любое расстояние и даже на другие планы, но если цель находится на другом плане, то есть шанс 5%, что сообщение не достигнет цели. Вы знаете, если сообщение не доставилось.

Получив ваше сообщение, существо может заблокировать вашу способность снова связаться с ним этим заклинанием на 8 часов. Если вы попытаетесь отправить другое сообщение в это время, то вы узнаете, что заблокированы, и заклинание провалится.",2024-09-17 14:50:12 UTC,2024-09-16 12:08:50 UTC,2024-09-20 07:33:07 UTC,Sending,0
376,Изоляция,"**Изоляция**
*7 уровень, преобразование*
*(Волшебник)*
**Время накладывания:** Действие
**Дистанция:** Касание
**Компоненты:** Вербальный, Соматический, Материальный (порошок из драгоценных камней стоимостью 5 000+ зм, расходуемый заклинанием)
**Длительность:** До рассеивания

Касанием вы магическим образом сокрываете объект или согласное существо. На время действия цель получает состояние невидимый и не может быть целью заклинаний прорицания, обнаружена магией или видима удаленно с помощью магии.

Если цель является существом, то оно входит в состояние приостановленной жизнедеятельности; оно получает состояние бессознательный, не стареет и не нуждается в пище, воде или воздухе.

Вы можете установить условие для досрочного окончания заклинания. Условие может быть любым, но оно должно произойти или быть видимым в пределах 1 мили от цели. Примеры включают «через 1000 лет» или «когда проснется тарасск». Это заклинание также заканчивается, если цель получает любой урон.",2024-09-17 14:54:56 UTC,2024-09-16 12:08:35 UTC,2024-09-20 07:33:07 UTC,Sequester,0
375,Тишина,"**Тишина**
*2 уровень, иллюзия*
*(Бард, жрец, следопыт)*
**Время накладывания:** 1 действие или ритуал
**Дистанция:** 120 футов
**Компоненты:** Вербальный, Соматический
**Длительность:** Концентрация, до 10 минут

На время действия заклинания никакие звуки не могут быть созданы внутри или пройти через сферу радиусом 20 футов с центром в точке, выбранной вами в пределах дистанции. Любое существо или объект, полностью находящийся внутри сферы, получает иммунитет к урону звуком, и существа получают состояния оглохшый, находясь полностью внутри неё. Наложение заклинания с вербальным компонентом в этой области невозможно.",2024-09-17 12:40:09 UTC,2024-09-16 12:08:24 UTC,2024-09-20 07:33:06 UTC,Silence,0
374,Щит веры,"**Щит веры**
*1 уровень, ограждение*
*(Жрец, паладин)*
**Время накладывания:** Бонусное действие
**Дистанция:** 60 футов
**Компоненты:** Вербальный, Соматический, Материальный (свиток с молитвой)
**Длительность:** Концентрация, до 10 минут

Мерцающее поле окружает существо на ваш выбор в пределах дистанции, предоставляя ему бонус +2 к КД на время длительности.",2024-09-17 14:10:06 UTC,2024-09-16 12:08:10 UTC,2024-09-20 07:33:06 UTC,Shield of Faith,0
373,Полное превращение,"**Полное превращение**
*9 уровень, преобразование*
*(Друид, волшебник)*
**Время накладывания:** 1 действие
**Дистанция:** На себя
**Компоненты:** Вербальный, Соматический, Материальный (нефритовая диадема стоимостью 1 500+ зм)
**Длительность:** Концентрация, до 1 часа

Вы превращаетесь в другое существо на время длительности заклинания или пока не совершите действие магия, чтобы превратиться в другую подходящую форму. Новая форма должна принадлежать существу с показателем опасности, не превышающим ваш уровень или показатель опасности. Вы должны были ранее видеть это существо, и оно не может быть конструктом или нежитью.

Когда вы превращаетесь, то получаете количество временных хитов, равное хитам новой формы. Заклинание заканчивается досрочно, если у вас не осталось временных хитов.

Ваш статблок заменяются статблоком выбранной формы, но вы сохраняете свой вид существа; мировоззрение; личность; показатели Интеллекта, Мудрости и Харизмы; хиты; кость хитов; владения и способность общаться. Если у вас есть умение Использование заклинаний, то вы сохраняете её тоже.

При превращении вы определяете, останется ли ваше снаряжение на земле или изменит размер и форму, чтобы соответствовать новой форме, пока вы находитесь в ней.",2024-09-23 08:38:11 UTC,2024-09-16 12:07:58 UTC,2024-09-23 08:38:11 UTC,Shapechange,0
372,Дребезги,"**Дребезги**
*2 уровень, воплощение*
*(Бард, волшебник, чародей)*
**Время накладывания:** Действие
**Дистанция:** 60 футов
**Компоненты:** Вербальный, Соматический, Материальный (кусочек слюды)
**Длительность:** Мгновенная

Громкий звук возникает в точке по вашему выбору в пределах дистанции. Каждое существо в сфере радиусом 10 футов с центром в этой точке должно совершить спасбросок Телосложения, получая 3к8 урона звуком при провале или половину этого урона при успехе. Конструкты совершают спасбросок с помехой.

Немагический предмет, который не надевается и не несётся, также получает урон, если он находится в области действия заклинания.

**Использование более высокой ячейки.** Урон увеличивается на 1к8 за каждый уровень ячейки заклинаний выше второго.",2024-09-17 14:56:29 UTC,2024-09-16 12:07:41 UTC,2024-09-20 07:33:06 UTC,Shatter,0
