Title,Original Title,Category,Description,Weight,Price
Верёвка,Rope,Мобильность,"Действием использование, вы можете завязать узел
на верёвке, если преуспели в проверке Ловкости (Лов-
кость рук) со Сл. 10. Верёвку можно разорвать, прой-
дя успешно проверку Силы (Атлетика) со Сл. 20. Вы
можете связать несогласное существо верёвкой только
если это существо находится в состоянии схваченный,
недееспособный или опутанный. Если ноги существа
связаны, то оно будет находиться в состоянии опутан-
ный до тех пор, пока не освободится. Для освобожде-
ния от верёвки существо действием должно преуспеть
в проверке Ловкости (Акробатика) со Сл. 15.",5 фнт.,1 зм
Духи,Perfume,Алхимия,"Духи находятся в 4-унциевом флаконе. В течение
1 часа после нанесения духов на себя, вы получаете
преимущество на проверки Харизмы (Убеждение), со-
вершённые для того, чтобы повлиять на нейтрального
гуманоида в пределах 5 футов от вас.",—,5 зм
Железный горшок,"Pot, Iron",Хранение,Железный горшок вмещает объём до 1 галлона.,10 фнт.,2 зм
Замок,Lock,Ловушки,"Замок поставляется с ключом. Без ключа существо
может использовать воровские инструменты, чтобы
взломать этот замок, успешно пройдя проверку Ловко-
сти (Ловкость рук) со Сл. 15.",1 фнт.,10 зм
Зелье лечения,Potion of Healing,Алхимия,"Это зелье является магическим предметом. Вы
можете выпить его или влить другому существу на
расстоянии 5 футов от вас бонусным действием. Суще-
ство, которое выпьет магическую красную жидкость из
этого флакона, восстанавливает 2к4 + 2 хита.",½ фнт.,50 зм
Зеркало,Mirror,Прочее,"Ручное стальное зеркало полезно для нанесения
косметики, а также для заглядывания за углы и отра-
жения света в качестве сигнала.",½ фнт.,5 зм
Калтропы,Caltrops,Ловушки,"Действием использование, вы можете рассыпать
калтропы из мешочка на площадь 5 на 5 футов в преде-
лах 5 футов от себя. Существо, которое впервые за ход
входит в эту местность, должно преуспеть в спасброске
Ловкости со Сл. 15, иначе получит 1 колющий урон и его
скорость будет уменьшена до 0 до начала его следующего
хода. На сбор калтропов требуется 10 минут.",2 фнт.,1 зм
Кандалы,Manacles,Ловушки,"Действием использование вы можете использовать
кандалы, чтобы сковать несогласное существо малень-
кого или среднего размера в пределах 5 футов от вас,
которое находится в состоянии захваченный, недееcпо-
собный или опутанный, если вы успешно пройдёте
проверку Ловкости (Ловкость рук) со Сл. 13. Пока суще-
ство сковано, оно испытывает помеху на броски атаки,
и оно считается опутанным, если кандалы прикрепле-
ны к цепи или крюку, зафиксированному на месте.
Освобождение от кандалов требует действием успешно
совершить проверку Ловкости (Ловкость рук) со Сл. 20.
Разрыв кандалов требует действием совершить успеш-
ную проверку Силы (Атлетика) со Сл. 25.
Каждый комплект кандалов поставляется с ключом.
Без ключа существо может использовать воровские
инструменты, чтобы вскрыть замок кандалов, успешно
пройдя проверку Ловкости (Ловкость рук) со Сл. 15.",6 фнт.,2 зм
Карта,Map,Выживание,"Если вы используете точную карту, то вы получаете
бонус +5 к проверкам Мудрости (Выживание), которые
вы совершаете, чтобы найти путь к месту, указанному
на карте.",—,1 зм
Кислота,Acid,Алхимия,"Когда вы совершаете действие атака, то вы можете
заменить 1 из ваших атак на бросок флакона с кис-
лотой. Выберите 1 существо или объект, который вы
видите в пределах 20 футов от себя. Цель должна преу-
спеть в спасброске Ловкости (Сл. 8 + ваш модификатор
Ловкости + ваш бонус мастерства), иначе она получит
2к6 урона кислотой.",1 фнт.,25 зм
Книга,Book,Канцелярия,"Книга содержит художественные или научно-по-
пулярные тексты. Если вы используете достоверную
научно-популярную книгу по соответствующей теме, то
вы получаете бонус +5 к проверкам Интеллекта (Арка-
на, История, Природа или Религия), связанным с этой
темой.",5 фнт.,25 зм
"Колья, железные","Spikes, Iron",Мобильность,"Железные колья продаются в наборах по 10 штук.
Действием использование, вы можете использовать
тупой предмет, такой как лёгкий молот, чтобы вбить
кол в дерево, землю или аналогичный материал. Вы
можете сделать это, чтобы заблокировать дверь или
затем привязать верёвку или цепь к колу.",5 фнт.,1 зм
Колокольчик,Bell,Ловушки,"Когда колокольчик звенит в качестве действия
использование его звук слышен на расстоянии до 60
футов.",—,1 зм
Колчан,Quiver,Боеприпас,Колчан вмещает до 20 стрел.,1 фнт.,1 зм
Комплект целителя,Healer’s Kit,Алхимия,"Комплект целителя имеет 10 использований. Дей-
ствием использование вы можете израсходовать 1 его
использование, чтобы стабилизировать бессознатель-
ное существо с 0 хитов, не проводя проверку Мудрости
(Медицина).",3 фнт.,5 зм
Корзина,Basket,Хранение,"Корзина вмещает до 40 фунтов в объёме 2 кубиче-
ских фута.",2 фнт.,4 см
Костюм,Costume,Одежда,"Когда вы носите костюм, то вы получаете преимуще-
ство на любую проверку характеристики, чтобы изо-
бразить персонажа или тип, которого он представляет.",4 фнт.,5 зм
Крюк-кошка,Grappling Hook,Мобильность,"Действием использование вы можете бросить
крюк-кошку на перила, выступ или другой зацеп в
пределах 50 футов от себя. Крюк зацепится, если вы
успешно пройдёте проверку Ловкости (Акробатика)
со Сл. 13. Если вы привязали верёвку к крюку, то вы
сможете по ней взобраться.",4 фнт.,2 зм
Кувшин,Jug,Хранение,Кувшин вмещает объём до 1 галлона.,4 фнт.,2 мм
Лампа,Lamp,Освещение,"Лампа сжигает масло в качестве топлива, освещая
ярким светом радиус в 15 футов и тусклым светом на
дополнительные 30 футов.",1 фнт.,5 см
Лестница,Ladder,Мобильность,"Лестница высотой 10 футов. Вы должны лазать, что-
бы подняться или спуститься по ней.",25 фнт.,1 см
Лом,Crowbar,Прочее,"Использование лома даёт вам преимущество на про-
верки Силы, когда можно применить его как рычаг.",5 фнт.,2 зм
Лопата,Shovel,Прочее,"Работая в течение 1 часа, вы можете использовать
лопату для копания ямы объёмом 5 футов по каждой
стороне в земле или подобном материале.",5 фнт.,2 зм
Магическая фокусировка,Arcane Focus,Фокусировка мага,"Магическая фокусировка принимает 1 из форм,
указанных в таблице «Магические фокусировки», и
украшена драгоценностями или резьбой для направ-
ления магии. Чародей, колдун или волшебник могут
использовать такой предмет в качестве заклинательной
фокусировки.

Виды магической фокусировки: Кристалл, Сфера, Жезл, Посох (боевой посох), Волшебная палочка.",Вар.,Вар.
Кристалл,Crystal,Фокусировка мага,Магическая фокусировка,1 фнт.,10 зм
Сфера,Orb,Фокусировка мага,Магическая фокусировка,3 фнт.,20 зм
Жезл,Rod,Фокусировка мага,Магическая фокусировка,2 фнт.,10 зм
Посох (также боевой посох),Staff,Фокусировка мага,Магическая фокусировка,4 фнт.,5 зм
Волшебная палочка,Wand,Фокусировка мага,Магическая фокусировка,1 фнт.,10 зм
Масло,Oil,Алхимия,"Вы можете облить существо, предмет или местность
маслом или использовать его в качестве топлива, как
описано ниже.
Облить существо или предмет. Когда вы соверша-
ете действие атака, то вы можете заменить 1 из своих
атак броском фляги с маслом. Выберите 1 существо
или предмет в пределах 20 футов от себя. Цель должна
успешно совершить спасбросок Ловкости (Сл. 8 + ваш
модификатор Ловкости + ваш бонус мастерства) или
станет покрыта маслом. Если цель получит огненный
урон до того, как масло высохнет (через 1 минуту), то
цель получает дополнительный урон огнём в размере 5
от горящего масла.
Разлить на местности. Вы можете совершить
действие использование, чтобы вылить флягу с маслом
на ровную поверхность, покрывая квадрат со сторой 5
футов в пределах 5 футов от себя. Если зажечь масло,
то оно будет гореть до конца хода второго раунда после
зажжения (или 12 секунд) и наносить 5 урона огнём
любому существу, которое войдёт в эту область или
завершит там свой ход. Существо может получить этот
урон только 1 раз за ход.
Топливо. Масло служит топливом для ламп и фона-
рей. После зажигания фляга с маслом горит в лампе
или фонаре в течение 6 часов. Это время не обязатель-
но должно быть непрерывным; вы можете погасить
горящее масло (с помощью действия использование) и
снова его зажечь до тех пор, пока оно не будет гореть в
общей сложности 6 часов.",1 фнт.,1 см
Мелкие шарики,Ball Bearings,Ловушки,"При использовании действия использование, вы
можете высыпать шарики из их мешочка. Они покры-
вают ровную площадь 10 на 10 футов в пределах 10
футов от вас. Существо, которое впервые за ход входит
на эту местность, должно преуспеть в спасброске Лов-
кости со Сл. 10 или при провале получит состояние ле-
жащий ничком. На сбор шариков требуется 10 минут.",2 фнт.,1 зм
Мешок,Sack,Хранение,"Мешок вмещает до 30 фунтов веса и имеет объём 1
кубический фут.",½ фнт.,1 мм
Мешочек с компонентами,Component Pouch,Магия,"Мешочек с компонентами водонепроницаемый и
заполнен кармашками для всех бесплатных материаль-
ных компонентов ваших заклинаний.",2 фнт.,25 зм
Набор артиста,Entertainer’s Pack,Наборы,"Набор артиста содержит следующие предметы:
рюкзак, спальник, колокольчик, направленный фонарь,
3 костюма, зеркало, 8 фляг масла, рационы на 9 дней,
трутница и бурдюк.",58 ½ фнт.,40 зм
Набор взломщика,Burglar’s Pack,Наборы,"Набор взломщика содержит следующие предметы:
рюкзак, мелкие шарики, колокольчик, 10 свеч, лом,
закрытый фонарь, 7 фляг масла, рационы на 5 дней,
верёвка, трутница, и бурдюк.",42 фнт.,16 зм
Набор дипломата,Diplomat’s Pack,Наборы,"Набор дипломата содержит следующие предметы:
сундук, парадная одежда, чернила, 5 писчих пера, лампа,
2 футляра для карт или свитков, 4 фляги масла, 5 листов
бумаги, 5 листов пергамента, духи и трутница.",39 фнт.,39 зм
Набор для лазания,Climber’s Kit,Наборы,"Набор для лазания включает в себя наконечники
для ботинок, перчатки, крюки и страховочную систе-
му. Действием использование, вы можете использовать
набор для лазания, чтобы закрепиться; при этом вы не
можете упасть более чем на 25 футов от точки закре-
пления, и не можете переместиться более чем на 25 фу-
тов оттуда, не сняв закрепление бонусным действием.",12 фнт.,25 зм
Набор исследователя подземелий,Dungeoneer’s Pack,Наборы,"Набор исследователя подземелий содержит следую-
щие предметы: рюкзак, калтропы, лом, 2 фляги масла,
рационы на 10 дней, верёвка, трутница, 10 факелов и
бурдюк.",55 фнт.,12 зм
Набор путешественника,Explorer’s Pack,Наборы,"Набор путешественника содержит следующие пред-
меты: рюкзак, спальник, 2 фляги масла, рационы на
10 дней, верёвка, трутница, 10 факелов и бурдюк.",55 фнт.,10 зм
Набор священника,Priest’s Pack,Наборы,"Набор священника содержит следующие предметы:
спальник, одеяло, святая вода, лампа, рационы на 7
дней, роба и трутница.",29 фнт.,33 зм
Набор учёного,Scholar’s Pack,Наборы,"Набор учёного включает в себя следующие предме-
ты: спальник, книга, чернила, писчее перо, лампа, 10
фляг масла, 10 листов пергамента и трутница.",22 фнт.,40 зм
Одежда путешественника,"Clothes, Traveler’s",Одежда,"Одежда путешественника — это прочные предметы
одежды, предназначенные для путешествий в различ-
ных условиях.",4 фнт.,2 зм
Одеяло,Blanket,Выживание,"Будучи завёрнутым в одеяло вы получаете преиму-
щество на спасброски против экстремального холода",3 фнт.,5 см
Охотничий капкан,Hunting Trap,Ловушки,"Действием использование вы можете установить
охотничий капкан, который представляет собой сталь-
ное кольцо с зубцами, захлопывающееся, когда су-
щество наступает на нажимную пластину в центре.
Ловушка прикреплена тяжёлой цепью к неподвижному
объекту, такому как дерево или вбитый в землю кол.
Существо, наступившее на пластину, должно преуспеть
в спасброске Ловкости со Сл. 13, иначе оно получит 1к4
колющего урона, и его скорость будет снижена до 0 до
начала его следующего хода. Далее, до тех пор, пока
существо не освободится из ловушки, его перемещение
ограничено длиной цепи (обычно 3 фута). Существо
может использовать своё действие, чтобы совершить
проверку Силы (Атлетика) со Сл. 13, освобождая себя
или другое существо в пределах своей досягаемости при
успехе. Каждая неудачная проверка наносит 1 колющий
урон пойманному существу.",25 фнт.,5 зм
Палатка,Tent,Выживание,"Палатка вмещает до 2 существ маленького или сред-
него размера.",20 фнт.,2 зм
Парадная одежда,"Clothes, Fine",Одежда,"Парадная одежда изготовлена из дорогих тканей
и украшена искусно выполненными деталями. Неко-
торые мероприятия и места допускают персонажей,
одетых только в такую одежду.",6 фнт.,15 зм
Пергамент,Parchment,Канцелярия,"1 лист пергамента может вместить около 250 слов,
написанных от руки.",—,1 см
Писчее перо,Ink Pen,Канцелярия,"Писчее перо используется для письма или рисова-
ния, используя чернила.",—,2 мм
Подзорная труба,Spyglass,Прочее,"Объекты, рассматриваемые через подзорную трубу,
кажутся увеличенными в 2 раза.",1 фнт.,1000 зм
Портативный таран,"Ram, Portable",Мобильность,"Вы можете использовать портативный таран, чтобы
выбивать двери. Для выбивания дверей вы получаете
бонус +4 к проверке Силы. Другой персонаж может по-
мочь вам использовать таран, давая вам преимущество
на эту проверку.",35 фнт.,4 зм
Противоядие,Antitoxin,Алхимия,"Бонусным действием вы можете выпить флакон
противоядия, чтобы получить в течение 1 часа преи-
мущество на спасброски для избежания или снятия
состояния отравленный.",—,50 зм
Рацион,Rations,Выживание,"Рацион состоит из пищи, готовой к употреблению в
дороге, включая вяленое мясо, сухофрукты, сухари и
орехи. См. недоедание в глоссарии правил для озна-
комления с рисками, связанными с отсутствием еды.",2 фнт.,5 см
Роба,Robe,Одежда,"Роба имеет профессиональное или церемониаль-
ное значение. Некоторые события и места допускают
персонажей, одетых только в робу определённого цвета
или с определёнными символами.",4 фнт.,1 зм
Рюкзак,Backpack,Хранение,"Рюкзак вмещает до 30 фунтов в объёме 1 кубиче-
ского фута. Также может использоваться как седельная
сумка.",5 фнт.,2 зм
Свеча,Candle,Освещение,"Зажжённая свеча излучает яркий свет в радиусе 5
футов и тусклый свет на дополнительные 5 футов в
течение 1 часа.",—,1 мм
Свиток заклинания (заговор),Spell Scroll 0,Магия,"Свиток заклинания (Заговор) — это магический предмет, содержащий
слова заговора, соответствен-
но, определяемого создателем свитка. Если заклинание
находится в списке заклинаний вашего класса, то вы
можете прочитать свиток и наложить заклинание, ис-
пользуя его обычное время накладывания и без предо-
ставления материальных компонентов.
Если заклинание требует спасбросок или бросок
атаки, то Сл. спасброска составляет 13, а бонус к атаке
+5. Свиток рассыпается в прах после завершения на-
кладывания заклинания.",—,30 зм
Свиток заклинания (уровень 1),Spell Scroll 1,Магия,"Свиток заклинания
(Уровень 1) — это магический предмет, содержащий заклинания 1 уровня, соответствен-
но, определяемого создателем свитка. Если заклинание
находится в списке заклинаний вашего класса, то вы
можете прочитать свиток и наложить заклинание, ис-
пользуя его обычное время накладывания и без предо-
ставления материальных компонентов.
Если заклинание требует спасбросок или бросок
атаки, то Сл. спасброска составляет 13, а бонус к атаке
+5. Свиток рассыпается в прах после завершения на-
кладывания заклинания.",—,50 зм
Святая вода,Holy Water,Алхимия,"Когда вы выполняете действие атака, то вы можете
заменить 1 из ваших атак броском фляги со святой во-
дой. Выберите 1 существо, которое вы видите в преде-
лах 20 футов от вас. Цель должна преуспеть в спасбро-
ске Ловкости (Сл. 8 + ваш модификатор Ловкости +
ваш бонус мастерства) или при провале цель получит
2к8 урона излучением, если это исчадие или нежить.",1 фнт.,25 зм
Священный символ,Holy Symbol,Фокусировка жреца,"Священный символ может принимать одну из форм,
указанных в таблице «Священные символы», и может
быть украшен драгоценностями или раскрашен, чтобы
направлять божественную магию. Жрец или паладин
могут использовать священный символ в качестве фо-
кусировки для накладывания заклинаний. В таблице
указано, нужно ли держать священный символ, носить
его или он может быть закреплён на ткани (например,
на табарде или знамени) или на щите.",Вар.,Вар.
Амулет,Amulet,Фокусировка жреца,Для фокусировки жреца носить или держать.,1 фнт.,5 зм
Эмблема,Emblem,Фокусировка жреца,Для фокусировки жреца крепить на ткань или щит.,—,5 зм
Реликварий,Reliquary,Фокусировка жреца,Для фокусировки жреца держать.,2 фнт.,5 зм
Сеть,Net,Ловушки,"Когда вы совершаете действие атака, то вы можете
заменить одну из своих атак броском сети. Выберите
существо, которое вы видите в пределах 15 футов от
себя. Цель должна успешно совершить спасбросок Лов-
кости (Сл. 8 + ваш модификатор Ловкости + ваш бонус
мастерства) или получить состояние опутанный до тех
пор, пока не освободится. Цель автоматически преу-
спевает, если она размером огромная или больше.
Для освобождения цель или существо в пределах 5
футов от неё должны совершить действие и совершить
проверку Силы (Атлетика) со Сл. 10, освобождая опу-
танное существо в случае успеха. Уничтожение Сети
(КД 10; 5 хитов; иммунитет к дробящему урону, ядом и
психической энергией) также освобождает цель, завер-
шая эффект.",3 фнт.,1 зм
Сигнальный свисток,Signal Whistle,Ловушки,"Действием использование вы можете заставить сиг-
нальный свисток издать звук, который можно услы-
шать на расстоянии до 600 футов.",—,5 мм
Спальник,Bedroll,Выживание,"Спальник рассчитан на 1 существо маленького или
среднего размера. Находясь в спальнике, вы автомати-
чески преуспеваете в спасбросках против экстремаль-
ного холода.",7 фнт.,1 зм
Сумка,Pouch,Хранение,Сумка вмещает до 6 фунтов в 1/5 кубического фута.,1 фнт.,5 см
Сундук,Chest,Хранение,Сундук вмещает до 12 кубических футов.,25 фнт.,5 зм
Трутница,Tinderbox,Выживание,"Трутница — это небольшой контейнер, содержащий
кремень, огниво и трут (обычно сухую ткань, пропи-
танную горючей смесью), используемые для разжига-
ния огня. Использование её для зажигания свечи, лам-
пы, фонаря или факела (или любого другого предмета
с открытым топливом) занимает бонусное действие.
Зажигание любого другого огня занимает 1 минуту.",1 фнт.,5 см
Увеличительное стекло,Magnifying Glass,Прочее,"Увеличительное стекло даёт преимущество на любую
проверку характеристики, сделанную для оценки или
осмотра детализированного предмета. Для того чтобы
зажечь огонь с помощью увеличительного стекла, требу-
ется яркий свет, как солнечный, трут для воспламене-
ния и около 5 минут для зажигания огня.",—,100 зм
Факел,Torch,Освещение,"Факел горит в течение 1 часа, освещая ярким светом
радиус 20 футов и тусклым светом ещё на 20 футов.
Когда вы совершаете действие атака, то вы можете
атаковать факелом, используя его как простое руко-
пашное оружие. При попадании цель получает 1 урона
огнём.",1 фнт.,1 мм
Флакон,Vial,Алхимия,Флакон вмещает объём до 4 унций.,—,1 зм
Фляга,Flask,Выживание,Фляга вмещает до 1 пинты.,1 фнт.,2 см
Фокусировка друидов,Druidic Focus,Фокусировка друида,"Фокусировка друидов принимает одну из форм,
указанных в таблице «Фокусировки друидов», и может
быть вырезана, украшена лентой или раскрашена для
направления природной магии. друид или следопыт
могут использовать такой предмет в качестве фокуси-
ровки для накладывания заклинаний.

Виды фокусировки друида: Веточка омелы, Деревянный посох, Тисовая палочка.",Вар.,Вар.
Веточка омелы,Sprig of mistletoe,Фокусировка друида,Фокусировка друида,—,1 зм
Деревянный посох (также боевой посох),Wooden staff,Фокусировка друида,Фокусировка друида,4 фнт.,5 зм
Тисовая палочка,Yew wand,Фокусировка друида,Фокусировка друида,1 фнт.,10 зм
"Фонарь, закрытый","Lantern, Hooded",Освещение,"Закрытый фонарь сжигает масло в качестве топли-
ва, освещая ярким светом радиус в 30 футов и тус-
клым светом на дополнительные 30 футов. Вы можете
бонусным действием опустить козырёк, уменьшив
освещение до тусклого света в радиусе 5 футов, или
снова поднять его.",2 фнт.,5 зм
"Фонарь, направленный","Lantern, Bullseye",Освещение,"Направленный фонарь сжигает масло в качестве
топлива, освещая ярким светом конус длиной 60 футов
и тусклым светом на дополнительные 60 футов.",2 фнт.,10 зм
Футляр для арбалетных болтов,"Case, Crossbow Bolt",Боеприпас,Футляр для арбалетных болтов вмещает до 20 болтов.,1 фнт.,1 зм
Футляр для карт или свитков,"Case, Map or Scroll",Боеприпас,"Футляр для карт или свитков вмещает до 10 листов
бумаги или 5 листов пергамента.",1 фнт.,1 зм
Цепь,Chain,Ловушки,"Действием использование вы можете обернуть цепь
вокруг несогласного существа в пределах 5 футов от
вас, если у этого существа есть состояние схвачен-
ный, недееcпособный или опутанный, и если вам
удастся совершить проверку Силы (Атлетика) Сл. 13.
Если ноги существа связаны, то оно получает состоя-
ние опутанный, пока не освободится. Чтобы освобо-
диться от цепи, существо должно действием успешно
совершить проверку Ловкости (Акробатика) со Сл. 18.
Чтобы порвать цепь, требуется действием успешная
проверка Силы (Атлетика) со Сл. 20.",10 фнт.,5 зм
Чернила,Ink,Канцелярия,"Чернила поставляются в бутылочке объёмом
1 унция, чего достаточно для написания примерно 500
страниц.",—,10 зм
Шест,Pole,Мобильность,"Шест имеет длину 10 футов. Вы можете использо-
вать его, чтобы дотянуться до чего-либо на расстоянии
до 10 футов. Если вам нужно совершить проверку
Силы (Атлетика) в рамках прыжка в высоту или длину,
то вы можете использовать шест для прыжка с шестом,
получив преимущество на проверку.",7 фнт.,5 мм
"Яд, обычный","Poison, Basic",Алхимия,"Бонусным действием вы можете использовать фла-
кон с обычным ядом, чтобы покрыть им 1 оружие или
до 3 единиц боеприпасов. Существо, которое получает
колющий или рубящий урон от отравленного оружия
или боеприпасов, дополнительно получает 1к4 урона
ядом. После нанесения яд сохраняет свою силу в те-
чение 1 минуты или до тех пор, пока не будет нанесён
урон, в зависимости от того, что произойдёт раньше.",—,100 зм
